,0,1,2
0,-6.48e-06,-1.15e-05,-7.68e-05
1,-0.000169747,9.01e-05,2.68e-05
2,-9.34e-05,7.16e-05,1.62e-05
3,-7.75e-05,9.33e-05,-0.000137982
4,-8.11e-06,1.48e-05,-9.83e-05
5,-3.01e-06,2.735e-05,0.000122903
6,-0.000102315,3.99e-05,-9.5e-05
7,-8.65e-05,-6.72e-06,-6.84e-05
8,0.000202063,1.29e-05,-0.000135804
9,-3.76e-05,-2.65e-05,0.000167128
10,-5.01e-07,-9.41e-05,-9.23e-05
11,-0.000109989,-0.0001167915,8.12e-05
12,6.67e-05,-0.000139483,0.000194453
13,0.000123872,1.26e-05,7.83e-05
14,2.9e-05,-5.88e-05,7.68e-05
15,-5.19e-05,0.000123192,-9.08e-05
16,-0.000212143,-2.7380999999999987e-05,0.000100707
17,0.00013502,-0.000177954,-7.02e-05
18,5.546e-05,3.09e-05,-0.000138327
19,-2.41e-05,4.66e-05,6.54e-05
20,-0.000105338,0.00016287,-3.4e-05
21,-7.12e-05,0.000125177,-0.000100426
22,-6.76e-05,6.2795e-05,3.13e-05
23,0.00021812,4.13e-07,0.000152851
24,8.16e-05,0.000157921,-3.26e-05
25,-7.44e-05,1.76e-05,2.11e-05
26,3.96e-05,2.15e-05,9.4e-05
27,-0.000146297,2.525e-05,8.33e-05
28,-0.000245018,2.9e-05,-0.000141598
29,0.000211017,-3.98e-05,5.76e-05
30,1.5e-05,-1.67e-05,7.88e-05
31,0.000186401,-0.000143859,-0.000122636
32,0.000182954,3.82e-05,6.95e-05
33,6.54e-05,-2.8350000000000005e-05,-5.59e-05
34,-3.18e-05,-9.49e-05,-9.34e-05
35,-0.00014681,-1.05e-05,6.51e-05
36,1.7914999999999994e-05,-1.87e-05,2.15e-05
37,0.00018264,6.01e-05,-4e-05
38,-0.000206754,0.0001006005,0.000118815
39,-0.00018384,0.000141101,4.15e-05
40,2.59e-05,0.000123889,0.000259373
41,0.000121924,6.7e-05,-5.5e-05
42,0.0001178,-0.000140437,3.39e-05
43,-0.000156892,-1e-05,-0.000131919
44,7.06e-05,-8.476e-05,2.02e-05
45,3.59e-05,-0.00015952,3.19e-05
46,-0.000123573,-7.86e-06,3.23e-05
47,2.74e-05,-0.000240509,-0.000133776
48,0.000239023,0.000115331,0.000182617
49,-2.9e-05,-2.1958500000000003e-05,-0.000100032
50,3.35e-05,-0.000159248,7.7e-05
51,-0.000158779,0.0001227,3.41e-06
52,1.2e-05,-3.46e-05,-1.02e-05
53,-4.85e-05,-3.62e-05,2e-05
54,-3.26e-05,9.12e-05,8.07e-05
55,1.7349999999999995e-05,3.345e-05,0.000209358
56,6.73e-05,-2.43e-05,8.86e-05
57,-0.000139992,-0.000202069,3.64e-05
58,1.8e-05,2.78e-05,-0.000181506
59,0.00019275,-5.1e-05,-0.000121685
60,5.95e-05,-3.0465e-05,-2.86e-05
61,-0.000192658,-9.93e-06,-6.48e-05
62,0.000104863,8.23e-05,-2.43e-05
63,3.08e-05,-7.5e-05,-7.66e-05
64,0.000203841,3.13e-05,-6.84e-05
65,-4.31e-05,9.29e-05,0.000132336
66,0.000164748,5.915e-05,7.95e-05
67,-1.44e-05,2.54e-05,7.73e-05
68,-9.67e-05,-7.68e-05,-0.000206227
69,-0.000196895,-2.5e-05,0.000278181
70,-1.62e-05,6.66e-05,-0.000185722
71,-0.000106939,-0.000138916,-2.63e-05
72,-7.14e-05,-0.000147228,-6.48e-05
73,-5.675e-05,-0.00015554,-3.81e-05
74,-4.21e-05,8.83e-05,0.000110204
75,0.000127371,9.35e-05,0.000119868
76,6.38e-06,-3.9e-05,0.000159645
77,7.88e-05,8.0409e-05,-0.000149143
78,7.42e-06,0.000199818,3.81e-05
79,5.81e-06,0.000106362,-0.00019697
80,8.41e-05,-9.21e-06,2.69e-05
81,-4.8e-05,-0.000102292,5.89e-05
82,1.64e-05,9.96e-06,-6.36e-05
83,-2.43e-05,-2.532e-05,-5.95e-06
84,5.3e-05,-6.06e-05,-1.49e-05
85,-8.03e-05,7.17e-05,5.16e-05
86,-4.45e-05,-6.66e-05,1.85e-05
87,5.25e-05,1.5e-05,-7.97e-05
88,-0.000263039,-5.809100000000001e-05,0.00020769
89,0.000187405,-0.000131182,-3.1e-06
90,9.82e-05,-8.89e-07,5.08e-05
91,5.87e-05,-8.47e-05,9.31e-07
92,7.925e-05,7.29e-05,-0.000195445
93,9.98e-05,4.49e-05,-8.27e-05
94,-9.35e-05,7.09e-05,0.000119975
95,0.000123134,9.69e-05,9.66e-07
96,-0.000104954,-6.61e-06,-0.000166739
97,1.08e-06,2.1e-05,0.000161443
98,0.000119665,0.000176376,-4.05e-06
99,6.27e-05,0.000148001,0.000104072
100,-8.01e-05,0.000119626,-5.89e-05
101,9.17e-05,-9.47e-05,-0.000132394
102,0.000113063,-0.000137567,-5.84e-05
103,-3.8e-05,6.34e-05,2.11e-05
104,0.000142457,-5.72e-05,-0.000195425
105,-7.35e-05,-5.57e-05,5.26e-05
106,-0.000225874,-5.42e-05,-8.82e-06
107,4.75e-05,-0.000156527,-0.000134414
108,-7.62e-05,-0.000282873,3.01e-05
109,3.81e-05,8.35e-05,-0.000103127
110,-2.26e-05,2.515e-05,0.000189673
111,-8.33e-05,-3.32e-05,0.000109277
112,0.000108326,-0.000153553,7.84e-05
113,-6.52e-05,3.66e-05,3.36e-05
114,-0.000256244,-0.000140502,2.33e-05
115,1.83e-05,6.01e-05,-9.77e-05
116,7.72e-05,2.2449999999999997e-05,-9.8e-05
117,3.82e-05,-1.52e-05,3.64e-05
118,-9.89e-05,7.56e-06,-7.43e-05
119,-3.21e-05,-0.000191223,-8.24e-05
120,-8.52e-05,-0.000124192,7.24e-05
121,9.68e-05,-0.00019243899999999998,4.59e-05
122,-0.000192102,-0.000260686,0.000147478
123,3.09e-05,-0.000352105,-0.000157793
124,7.8e-05,0.000136895,-0.000183783
125,0.00021338,-0.000117362,-6.09e-05
126,-0.000118249,0.000480813,-3.74e-05
127,3.38e-06,0.000494448,-1.38e-05
128,0.000128728,0.000508083,-3.55e-05
129,1.9964e-05,0.000438398,-0.00014401
130,-8.88e-05,0.000329205,9.74e-05
131,7.85e-05,0.000329056,2.85e-05
132,5.49e-05,0.000128728,5.45e-05
133,4.55e-05,-7.16e-05,-6.56e-05
134,1.41e-05,0.000351431,-1.3e-05
135,-8.35e-05,0.000154186,-5.3e-05
136,0.000112435,0.000210611,-0.000248687
137,-6.5e-05,8.05e-05,-0.00015536
138,-0.000153559,5.050000000000001e-06,-5.73e-05
139,-0.000122611,-7.04e-05,-1.02e-05
140,0.000109681,-4.73e-05,0.000186273
141,3.85e-05,-1.98e-05,7.41e-05
142,0.00016194,7.05e-05,-0.000131578
143,-7.13e-05,0.000427992,1.75e-05
144,-0.000268246,0.000465834,-2.01e-05
145,-4.16e-05,0.000503676,9.75e-05
146,-9.48e-05,-5.75e-05,-0.000126282
147,2.6532999999999998e-05,0.000118027,0.00017946
148,0.000147866,-0.000397328,8.44e-05
149,-1.16e-05,-0.0002991125,3.32e-05
150,4.81e-05,-0.000200897,-0.00016484
151,5.86e-05,-0.000352281,0.000112127
152,8.46e-05,3.17e-05,-5.07e-05
153,-3.46e-05,0.000292392,-8.31e-05
154,-0.000124978,0.000134129,-0.000146221
155,-5.04e-05,-4.947400000000001e-05,4.63e-05
156,-2.25e-06,-0.000233077,7.78e-05
157,-0.000133562,0.000150968,4.69e-05
158,8.61e-05,0.000670531,5.63e-05
159,-9.73e-05,0.00061484,-0.000116007
160,0.000150796,0.0005866059999999999,-5.78e-05
161,2.31e-05,0.000558372,-0.000109023
162,-5.71e-05,0.000100062,7.14e-05
163,0.000217661,-0.000193483,2.52e-05
164,7.11e-05,-0.000111741,2.01e-05
165,3.03e-06,-7.98e-05,1.92e-05
166,4.4415e-05,-0.00022574999999999998,0.000141046
167,8.58e-05,-0.0003717,0.000128531
168,-6.78e-05,-0.000690998,8.89e-06
169,-9.57e-05,-0.000912914,0.000134776
170,4.53e-05,-0.000615636,-2.76e-05
171,4.57e-05,-0.000342668,5.16e-06
172,-0.000247286,-6.97e-05,0.000111726
173,-7.58e-06,3.69e-05,-0.000260474
174,3.83e-07,0.000294122,-5.27e-05
175,-2.02e-06,-3.16e-05,0.000174207
176,0.000217543,-5.65e-06,4.62e-05
177,-3e-05,0.0001280695,4.16e-05
178,3.98e-06,0.000261789,-0.000110998
179,6.08e-05,0.000357255,4.5e-05
180,-8.18e-05,0.000556564,-0.0001168
181,-7.37e-05,0.0003719,-6.63e-08
182,0.000115059,0.0001447,-2.33e-06
183,-4.17e-05,-8.25e-05,-0.000113409
184,-3.065e-05,-6.55e-06,0.000150826
185,-1.96e-05,-0.000195408,-0.000162356
186,-8.47e-06,0.000197808,5.57e-06
187,0.000179278,0.000309121,3.47e-05
188,-1.73e-05,0.0001892105,-6.06e-05
189,-5.32e-05,6.93e-05,0.000144851
190,0.000124071,0.000307367,3.56e-05
191,-8.63e-05,0.000127769,-0.000192328
192,1.29e-05,-7.08e-05,3.88e-05
193,0.000123236,-6.835000000000001e-05,5.73e-05
194,-0.000263735,-6.59e-05,-8.7e-05
195,8.36e-06,-0.000345615,8.57e-05
196,0.000104284,-0.000487088,3.28e-05
197,4.3e-05,-0.000514957,9.09e-05
198,-0.000155711,-0.000591072,-6.57e-05
199,0.000151553,-0.0006209695,-4.53e-05
200,-7.47e-05,-0.000650867,-0.000104048
201,9.57e-06,-0.001082714,6.38e-06
202,3.95e-05,-0.001133435,0.000170046
203,-2.350000000000003e-06,-0.001421253,-0.000158534
204,-4.42e-05,-0.001460906,-0.000170141
205,4.8e-05,-0.001500559,3.65e-05
206,-6.75e-06,-0.001621287,9.63e-05
207,-4.14e-06,-0.001099717,-6.02e-05
208,2.01e-05,-0.000647972,-6.95e-06
209,0.00011885,-0.000583956,-9.06e-05
210,-7.38e-05,-0.00034935999999999995,-4.7e-05
211,-2.8e-05,-0.000114764,8.76e-05
212,2.47e-06,-0.000254761,7.73e-05
213,0.000117303,7.16e-05,-0.000130166
214,-0.000138449,0.000326124,2.18e-05
215,9.57e-05,4.3e-05,6.61e-05
216,-0.000141034,1.255e-05,6.7e-05
217,-6.43e-05,-1.79e-05,0.000147959
218,2.73e-06,0.000241539,-0.00015325
219,1.48e-05,0.000163684,-8e-05
220,6.66e-05,0.000245861,8.83e-05
221,5.555e-05,0.0004099145,7.72e-05
222,4.45e-05,0.000573968,0.000121242
223,1.22e-05,0.000728427,5.91e-06
224,1.57e-05,0.000785375,-5.47e-05
225,1.38e-05,0.000602232,4.17e-05
226,4.2e-05,0.00087555,-0.000104262
227,-0.000104542,0.0009229595000000001,8.91e-05
228,-1.89e-05,0.000970369,5.79e-05
229,-7e-06,0.000855596,6.58e-05
230,-3.58e-05,0.000666765,3.53e-05
231,0.000117228,0.000751714,1.33e-05
232,-9.31e-05,0.0005859915000000001,5.84e-05
233,-3.77e-05,0.000420269,1.74e-05
234,0.00020461,8.67e-05,5.17e-05
235,-0.000154149,-0.000168168,-1.2e-05
236,-5.14e-05,-0.000148594,6.32e-05
237,-0.00016046,-0.000368449,0.000120109
238,2.71e-05,-0.000253699,-2.23e-05
239,3.32e-05,-0.000138949,-0.000127623
240,-2.9549999999999993e-05,-0.000227925,0.000110734
241,-9.23e-05,-0.000411825,-0.000162872
242,0.000103681,-0.000313086,0.00016377
243,5.57e-05,-0.0004641625,5.17e-05
244,-4.73e-05,-0.000615239,-2.04e-05
245,9.6e-05,-0.000523095,3.03e-05
246,7.3e-05,-0.000559201,-8.44e-05
247,-0.00013894,-0.000142516,6.2e-05
248,9.77e-05,6.24e-06,6.5e-05
249,-0.00013998,0.00019962949999999998,6.66e-06
250,-3.35e-05,0.000393019,-8.63e-05
251,-0.000166731,0.000398402,-1.71e-05
252,-0.000132941,0.000424381,-6.43e-05
253,0.000126702,0.000663814,1.51e-05
254,-8.94e-05,0.000671467,-1.79e-05
255,9.33e-05,0.00067912,2.34e-05
256,-6.55e-05,0.000818155,0.000233379
257,-0.000247256,0.000975523,-9.41e-05
258,-0.0001775215,0.0006271,7.45e-05
259,-0.000107787,0.001087114,-5.83e-05
260,-4.51e-05,0.0010610275,-0.000167592
261,-5.93e-05,0.001034941,-3.51e-05
262,6.88e-05,0.000736688,-8.45e-05
263,9.32e-06,0.000917155,8.87e-06
264,-9.66e-05,0.00058302,-1.12e-05
265,-2.34e-05,0.0006292965,0.000125877
266,1.06e-05,0.000675573,-6.88e-05
267,-0.000149324,0.000493316,-9.87e-06
268,3.84e-05,0.000274022,-8.36e-05
269,7.3e-05,0.000118413,5.42e-05
270,-0.000142029,-0.000223027,0.000212132
271,-3.25e-05,-0.00030263,9.58e-05
272,8.57e-05,-0.000382233,3.41e-05
273,5.3e-05,-0.001027833,0.00013226
274,-0.000243958,-0.000528201,-5.97e-06
275,5.58e-05,-0.000684358,1.34e-05
276,8.6929e-05,-0.0008969835,2.83e-05
277,0.000118058,-0.001109609,-1.95e-05
278,-0.000101574,-0.001275167,0.000133521
279,-0.000184089,-0.001186533,0.000165392
280,-1.11e-05,-0.001354761,3.67e-05
281,3.96e-05,-0.001136549,7.59e-05
282,0.000104169,-0.0014097954999999999,-9.77e-05
283,-0.000149564,-0.001683042,0.000146955
284,6.49e-05,-0.001987788,-1.82e-05
285,-8.59e-05,-0.001797868,3.58e-05
286,-0.000135871,-0.001837399,0.000109552
287,-3.27e-07,-0.002254218,-7.12e-06
288,0.000102453,-0.002031211,2.97e-05
289,0.00014911,-0.001808204,8.11e-05
290,-2.87e-05,-0.001675886,-5.42e-06
291,-0.000159119,-0.001820423,3.14e-06
292,-0.000120227,-0.001700573,-7.53e-05
293,3.76e-05,-0.001431384,0.000155098
294,3.39e-05,-0.001162195,0.000153274
295,-3.07e-05,-0.001013938,2.85e-05
296,-9.53e-05,-0.000749916,7.29e-05
297,-3.73e-05,-0.000155267,2.86e-05
298,-0.000138441,-0.000191453,-7.4e-05
299,-3.37e-05,1.2644999999999985e-05,0.00010018
300,6.71e-05,0.000216743,-7.3e-05
301,3.29e-05,0.00025476,4.97e-05
302,-8.7e-05,0.000411182,-9.82e-05
303,-6.76e-05,0.000684416,3.5e-05
304,-8.4e-05,0.0009080615,1.47e-06
305,3.9e-05,0.001131707,-2.4e-06
306,-2.58e-05,0.000957342,-2.15e-05
307,-2.13e-05,0.000756439,5.8e-06
308,0.000106925,0.000312058,-0.000115618
309,-9.05e-05,0.000335728,9.35e-05
310,0.000177593,0.000280921,1.83e-05
311,-5.83e-05,0.000226114,-0.000110873
312,2.99e-05,0.000615634,7.46e-05
313,-5.9677000000000005e-05,0.000897359,-0.000182501
314,-0.000149254,0.001250862,-0.000137695
315,0.0001178,0.0012060445,-0.000105758
316,-6.72e-06,0.001161227,2.12e-05
317,-9.93e-05,0.001207466,-2.39e-05
318,0.000225606,0.001116185,6.26e-05
319,0.00016205,0.001394117,-1.73e-05
320,6.96e-05,0.001283789,-0.000122772
321,5.28e-05,0.0012829395,6.66e-05
322,-9.26e-05,0.00128209,7.98e-06
323,-8.6e-05,0.001046121,-0.000166156
324,-5.4e-05,0.001025727,-5.95e-05
325,0.000118949,0.000911693,-0.000100883
326,3.91e-06,0.0006458074999999999,-0.000107691
327,-8e-06,0.000379922,5.08e-05
328,4.1e-05,1.21e-05,6.15e-05
329,-8.01e-05,0.00010855,-4.75e-05
330,0.000114246,8.87e-05,-0.000256052
331,4.92e-05,0.000295128,-6.89e-05
