wrist,chest
62.1978,57.81464378
62.12086667,57.7060029
62.04086667,57.6042177
61.9542,57.49466526
61.86026667,57.37624054
61.758,57.19866708
61.64666667,57.02536607
61.52653333,56.80634781
61.39633333,56.59734736
61.25626667,56.36238196
61.10626667,56.15568567
60.94533333,55.99333324
60.7744,55.82806308
60.59226667,55.6936906
60.395,55.56105808
60.19886667,55.5030627
60.00946667,55.4371032
59.82766667,55.34436097
59.65393333,55.25962622
59.48813333,55.12146622
59.33053333,54.96643703
59.18026667,54.7982555
59.033,54.59572624
58.8892,54.42294348
58.74866667,54.2565645
58.60966667,54.06254421
58.46853333,53.87055005
58.32646667,53.7218635
58.18273333,53.59963444
58.0366,53.48735302
57.8876,53.37458418
57.73453333,53.2743314
57.57706667,53.17331312
57.41333333,53.13175104
57.24193333,53.0775142
57.06106667,53.04252369
56.86593333,53.02047869
56.65653333,53.01053172
56.4504,53.00463377
56.24693333,53.0039955
56.046,52.99235917
55.84733333,52.98701776
55.65093333,52.98696974
55.457,52.99578446
55.26526667,52.99418988
55.07533333,52.99116011
54.88713333,52.98273347
54.69986667,52.94379032
54.51346667,52.90433501
54.32806667,52.86163253
54.14346667,52.82270046
53.95973333,52.78018401
53.777,52.74024119
53.59486667,52.67829583
53.41273333,52.67478728
53.2308,52.63179715
53.04913333,52.5958986
52.86733333,52.48139279
52.68573333,52.34825526
52.50966667,52.21755935
52.33966667,52.10170435
52.1754,51.99061177
52.0172,51.85171576
51.869,51.75934848
51.73106667,51.65560571
51.60446667,51.61197879
51.48946667,51.56492228
51.3866,51.56519546
51.2968,51.57321527
51.21953333,51.59354914
51.1562,51.59178219
51.10793333,51.59558001
51.07373333,51.57954928
51.0556,51.5619569
51.06026667,51.54009923
51.0716,51.53124702
51.0834,51.51928794
51.09473333,51.50047318
51.1058,51.48850124
51.11653333,51.4854016
51.12693333,51.50447755
51.13653333,51.51928105
51.146,51.54545026
51.15546667,51.56160165
51.16533333,51.57690236
51.17573333,51.56393394
51.18646667,51.56571775
51.19753333,51.57041927
51.20866667,51.55468082
51.21993333,51.53720243
51.23166667,51.52572642
51.2444,51.52221454
51.25806667,51.52801256
51.27306667,51.52580312
51.28966667,51.53792775
51.30746667,51.56692157
51.32706667,51.59739964
51.3486,51.66222544
51.37186667,51.7513169
51.39673333,51.83400457
51.4224,51.90458758
51.44846667,51.97314446
51.47366667,52.02890947
51.498,52.05821699
51.5214,52.08810931
